"Time (s) Run #1","Angular Velocity - z (rad/s) Run #1"
0.000,-2.5
0.050,-2.5
0.100,-2.5
0.150,-2.5
0.200,-2.5
0.250,-2.5
0.300,-2.5
0.350,-2.5
0.400,-2.5
0.450,-2.5
0.500,-2.5
0.550,-2.5
0.600,-2.4
0.650,-2.5
0.700,-2.5
0.750,-2.5
0.800,-2.4
0.850,-2.4
0.900,-2.4
0.950,-2.4
1.000,-2.4
1.050,-2.4
1.100,-2.4
1.150,-2.4
1.200,-2.4
1.250,-2.4
1.300,-2.4
1.350,-2.4
1.400,-2.4
1.450,-2.4
1.500,-2.4
1.550,-2.4
1.600,-2.4
1.650,-2.4
1.700,-2.4
1.750,-2.4
1.800,-2.4
1.850,-2.4
1.900,-2.4
1.950,-2.4
2.000,-2.4
2.050,-2.4
2.100,-2.4
2.150,-2.4
2.200,-2.4
2.250,-2.4
2.300,-2.4
2.350,-2.4
2.400,-2.4
2.450,-2.4
2.500,-2.4
2.550,-2.4
2.600,-2.4
2.650,-2.4
2.700,-2.4
2.750,-2.4
2.800,-2.4
2.850,-2.4
2.900,-2.4
2.950,-2.4
3.000,-2.4
3.050,-2.4
3.100,-2.4
3.150,-2.4
3.200,-2.4
3.250,-2.4
3.300,-2.4
3.350,-2.4
3.400,-2.4
3.450,-2.4
3.500,-2.4
3.550,-2.4
3.600,-2.4
3.650,-2.4
3.700,-2.4
3.750,-2.4
3.800,-2.4
3.850,-2.4
3.900,-2.4
3.950,-2.4
4.000,-2.4
4.050,-2.4
4.100,-2.4
4.150,-2.4
4.200,-2.4
4.250,-2.4
4.300,-2.4
4.350,-2.4
4.400,-2.4
4.450,-2.4
4.500,-2.4
4.550,-2.4
4.600,-2.4
4.650,-2.4
4.700,-2.4
4.750,-2.4
4.800,-2.4
4.850,-2.4
4.900,-2.4
4.950,-2.4
5.000,-2.4
5.050,-2.4
5.100,-2.4
5.150,-2.4
5.200,-2.4
5.250,-2.4
5.300,-2.4
5.350,-2.4
5.400,-2.4
5.450,-2.4
5.500,-2.4
5.550,-2.4
5.600,-2.4
5.650,-2.4
5.700,-2.3
5.750,-2.4
5.800,-2.4
5.850,-2.3
5.900,-2.3
5.950,-2.3
6.000,-2.3
6.050,-2.3
6.100,-2.3
6.150,-2.3
6.200,-2.3
6.250,-2.3
6.300,-2.3
6.350,-2.3
6.400,-2.3
6.450,-2.3
6.500,-2.3
6.550,-2.3
6.600,-2.3
6.650,-2.3
6.700,-2.3
6.750,-2.3
6.800,-2.3
6.850,-2.3
6.900,-2.3
6.950,-2.3
7.000,-2.3
7.050,-2.3
7.100,-2.3
7.150,-2.3
7.200,-2.3
7.250,-2.3
7.300,-2.3
7.350,-2.3
7.400,-2.3
7.450,-2.3
7.500,-2.3
7.550,-2.3
7.600,-2.3
7.650,-2.3
7.700,-2.3
7.750,-2.3
7.800,-2.3
7.850,-2.3
7.900,-2.3
7.950,-2.3
8.000,-2.3
8.050,-2.3
8.100,-2.3
8.150,-2.3
8.200,-2.3
8.250,-2.3
8.300,-2.3
8.350,-2.3
8.400,-2.3
8.450,-2.3
8.500,-2.3
8.550,-2.3
8.600,-2.3
8.650,-2.3
8.700,-2.3
8.750,-2.3
8.800,-2.3
8.850,-2.3
8.900,-2.3
8.950,-2.3
9.000,-2.3
9.050,-2.3
9.100,-2.3
9.150,-2.3
9.200,-2.3
9.250,-2.3
9.300,-2.3
9.350,-2.3
9.400,-2.3
9.450,-2.3
9.500,-2.3
9.550,-2.3
9.600,-2.3
9.650,-2.3
9.700,-2.3
9.750,-2.3
9.800,-2.3
9.850,-2.3
9.900,-2.3
9.950,-2.3
10.000,-2.3
10.050,-2.3
10.100,-2.3
10.150,-2.3
10.200,-2.3
10.250,-2.3
10.300,-2.3
10.350,-2.3
10.400,-2.3
10.450,-2.3
10.500,-2.3
10.550,-2.3
10.600,-2.3
10.650,-2.3
10.700,-2.3
10.750,-2.3
10.800,-2.3
10.850,-2.3
10.900,-2.3
10.950,-2.3
11.000,-2.3
11.050,-2.3
11.100,-2.3
11.150,-2.3
11.200,-2.2
11.250,-2.2
11.300,-2.2
11.350,-2.2
11.400,-2.2
11.450,-2.2
11.500,-2.2
11.550,-2.2
11.600,-2.2
11.650,-2.2
11.700,-2.2
11.750,-2.2
11.800,-2.2
11.850,-2.2
11.900,-2.2
11.950,-2.2
12.000,-2.2
12.050,-2.2
12.100,-2.2
12.150,-2.2
12.200,-2.2
12.250,-2.2
12.300,-2.2
12.350,-2.2
12.400,-2.2
12.450,-2.2
12.500,-2.2
12.550,-2.2
12.600,-2.2
12.650,-2.2
12.700,-2.2
12.750,-2.2
12.800,-2.2
12.850,-2.2
12.900,-2.2
12.950,-2.2
13.000,-2.2
13.050,-2.2
13.100,-2.2
13.150,-2.2
13.200,-2.2
13.250,-2.2
13.300,-2.2
13.350,-2.2
13.400,-2.2
13.450,-2.2
13.500,-2.2
13.550,-2.2
13.600,-2.2
13.650,-2.2
13.700,-2.2
13.750,-2.2
13.800,-2.2
13.850,-2.2
13.900,-2.2
13.950,-2.2
14.000,-2.2
14.050,-2.2
14.100,-2.2
14.150,-2.2
14.200,-2.2
14.250,-2.2
14.300,-2.2
14.350,-2.2
14.400,-2.2
14.450,-2.2
14.500,-2.2
14.550,-2.2
14.600,-2.2
14.650,-2.2
14.700,-2.2
14.750,-2.2
14.800,-2.2
14.850,-2.2
14.900,-2.2
14.950,-2.2
15.000,-2.2
15.050,-2.2
15.100,-2.2
15.150,-2.2
15.200,-2.2
15.250,-2.2
15.300,-2.2
15.350,-2.2
15.400,-2.2
15.450,-2.2
15.500,-2.2
15.550,-2.2
15.600,-2.2
15.650,-2.2
15.700,-2.2
15.750,-2.2
15.800,-2.2
15.850,-2.2
