"Time (s) Run #1","Angular Velocity - z (rad/s) Run #1"
0.000,-2.5
0.050,-2.5
0.100,-2.5
0.150,-2.5
0.200,-2.5
0.250,-2.5
0.300,-2.5
0.350,-2.5
0.400,-2.5
0.450,-2.5
0.500,-2.5
0.550,-2.5
0.600,-2.5
0.650,-2.5
0.700,-2.5
0.750,-2.5
0.800,-2.5
0.850,-2.5
0.900,-2.5
0.950,-2.5
1.000,-2.5
1.050,-2.5
1.100,-2.4
1.150,-2.4
1.200,-2.4
1.250,-2.4
1.300,-2.4
1.350,-2.4
1.400,-2.4
1.450,-2.4
1.500,-2.4
1.550,-2.4
1.600,-2.4
1.650,-2.4
1.700,-2.4
1.750,-2.4
1.800,-2.4
1.850,-2.4
1.900,-2.4
1.950,-2.4
2.000,-2.4
2.050,-2.4
2.100,-2.4
2.150,-2.4
2.200,-2.4
2.250,-2.4
2.300,-2.4
2.350,-2.4
2.400,-2.4
2.450,-2.4
2.500,-2.4
2.550,-2.4
2.600,-2.4
2.650,-2.4
2.700,-2.4
2.750,-2.4
2.800,-2.4
2.850,-2.4
2.900,-2.4
2.950,-2.4
3.000,-2.4
3.050,-2.4
3.100,-2.4
3.150,-2.4
3.200,-2.4
3.250,-2.4
3.300,-2.4
3.350,-2.4
3.400,-2.4
3.450,-2.4
3.500,-2.4
3.550,-2.4
3.600,-2.4
3.650,-2.4
3.700,-2.4
3.750,-2.4
3.800,-2.4
3.850,-2.4
3.900,-2.4
3.950,-2.4
4.000,-2.4
4.050,-2.4
4.100,-2.4
4.150,-2.4
4.200,-2.4
4.250,-2.4
4.300,-2.4
4.350,-2.4
4.400,-2.4
4.450,-2.4
4.500,-2.4
4.550,-2.4
4.600,-2.4
4.650,-2.4
4.700,-2.4
4.750,-2.4
4.800,-2.4
4.850,-2.4
4.900,-2.4
4.950,-2.4
5.000,-2.4
5.050,-2.4
5.100,-2.4
5.150,-2.4
5.200,-2.4
5.250,-2.4
5.300,-2.4
5.350,-2.4
5.400,-2.4
5.450,-2.4
5.500,-2.4
5.550,-2.4
5.600,-2.4
5.650,-2.4
5.700,-2.4
5.750,-2.4
5.800,-2.4
5.850,-2.4
5.900,-2.4
5.950,-2.4
6.000,-2.4
6.050,-2.4
6.100,-2.4
6.150,-2.4
6.200,-2.4
6.250,-2.4
6.300,-2.4
6.350,-2.4
6.400,-2.4
6.450,-2.4
6.500,-2.4
6.550,-2.4
6.600,-2.4
6.650,-2.4
6.700,-2.4
6.750,-2.4
6.800,-2.4
6.850,-2.4
6.900,-2.4
6.950,-2.4
7.000,-2.4
7.050,-2.4
7.100,-2.4
7.150,-2.4
7.200,-2.4
7.250,-2.4
7.300,-2.4
7.350,-2.4
7.400,-2.4
7.450,-2.4
7.500,-2.4
7.550,-2.4
7.600,-2.4
7.650,-2.4
7.700,-2.4
7.750,-2.4
7.800,-2.4
7.850,-2.4
7.900,-2.4
7.950,-2.4
8.000,-2.4
8.050,-2.4
8.100,-2.4
8.150,-2.4
8.200,-2.4
8.250,-2.4
8.300,-2.4
8.350,-2.4
8.400,-2.4
8.450,-2.4
8.500,-2.4
8.550,-2.4
8.600,-2.4
8.650,-2.4
8.700,-2.4
8.750,-2.4
8.800,-2.4
8.850,-2.4
8.900,-2.4
8.950,-2.4
9.000,-2.4
9.050,-2.4
9.100,-2.4
9.150,-2.4
9.200,-2.4
9.250,-2.4
9.300,-2.4
9.350,-2.4
9.400,-2.4
9.450,-2.4
9.500,-2.4
9.550,-2.4
9.600,-2.4
9.650,-2.4
9.700,-2.4
9.750,-2.4
9.800,-2.4
9.850,-2.4
9.900,-2.3
9.950,-2.4
10.000,-2.4
10.050,-2.4
10.100,-2.3
10.150,-2.3
10.200,-2.4
10.250,-2.4
10.300,-2.4
10.350,-2.4
10.400,-2.4
10.450,-2.5
10.500,-2.6
10.550,-2.8
10.600,-2.8
10.650,-2.9
10.700,-3.0
10.750,-3.0
10.800,-3.1
10.850,-3.3
10.900,-3.4
10.950,-3.5
11.000,-3.6
11.050,-3.6
11.100,-3.6
11.150,-3.7
11.200,-3.8
11.250,-3.9
11.300,-4.1
11.350,-4.2
11.400,-4.2
11.450,-4.3
11.500,-4.3
11.550,-4.4
11.600,-4.4
11.650,-4.5
11.700,-4.6
11.750,-4.7
11.800,-4.6
11.850,-4.5
11.900,-4.7
11.950,-4.7
12.000,-4.7
12.050,-4.7
12.100,-4.7
12.150,-4.7
12.200,-4.7
12.250,-4.7
12.300,-4.7
12.350,-4.7
12.400,-4.7
12.450,-4.7
12.500,-4.7
12.550,-4.7
12.600,-4.7
12.650,-4.7
12.700,-4.7
12.750,-4.7
12.800,-4.7
12.850,-4.6
12.900,-4.6
12.950,-4.6
13.000,-4.6
13.050,-4.6
13.100,-4.6
13.150,-4.6
13.200,-4.6
13.250,-4.6
13.300,-4.6
13.350,-4.6
13.400,-4.6
13.450,-4.6
13.500,-4.6
13.550,-4.6
13.600,-4.6
13.650,-4.6
13.700,-4.6
13.750,-4.6
13.800,-4.6
13.850,-4.6
13.900,-4.6
13.950,-4.6
14.000,-4.6
14.050,-4.6
14.100,-4.6
14.150,-4.6
14.200,-4.6
14.250,-4.6
14.300,-4.6
14.350,-4.6
14.400,-4.5
14.450,-4.5
14.500,-4.5
14.550,-4.5
14.600,-4.5
14.650,-4.6
14.700,-4.5
14.750,-4.5
14.800,-4.5
14.850,-4.5
14.900,-4.5
14.950,-4.5
15.000,-4.5
15.050,-4.5
15.100,-4.5
15.150,-4.5
15.200,-4.5
15.250,-4.5
15.300,-4.5
15.350,-4.5
15.400,-4.5
15.450,-4.5
15.500,-4.5
15.550,-4.5
15.600,-4.5
15.650,-4.5
15.700,-4.5
15.750,-4.5
15.800,-4.5
15.850,-4.5
