LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2200,2200,0,219.0,50.016475095785445,101.17892720306514,0.0,0.0,0,8.320600954556976,1,,251.45833333333334,255.0,0.0,255.0,54315.0,29.911934695189903,0.9784760257518977,8.31516595913878,0.13390617292231013,-0.1256981531052998,9.802243281920738,7.461711416693894,1.7812895372432618,1.313672257545425,217.49999999999997,56.67717683591961,0.850849418992602,0.9477124183006534,3.8430725100699887
ID2198,2198,0,222.0,50.208619374523266,101.2017543859649,0.0,1.0,1,8.339706837243037,1,,247.9816513761468,255.0,0.0,255.0,54060.0,41.81437621309072,0.9875284257497963,5.893322096857503,-0.004074863496556649,0.006871793471765255,9.662059295844928,7.4861128109550155,-1.2925151857402533,1.290664399513948,218.49999999999997,56.22455324675147,0.868578907505177,0.9668141592920353,3.8036477661041954
ID2199,2199,0,224.0,50.119581464872944,101.2660687593423,0.0,2.0,2,8.425147157111578,1,,249.30803571428572,255.0,0.0,255.0,55845.0,37.75468049478479,0.9908685106296243,6.573080071243568,-0.0021701328181005174,0.01855596802207511,9.626278270766617,7.503782131669199,-1.4396101709476423,1.2828568449688282,222.99999999999994,57.09522125495383,0.8596372111157171,0.9674620390455531,3.8233788089041445
ID2201,2201,0,216.0,50.23531655225019,101.33752860411899,0.0,3.0,3,8.339706837243037,1,,251.4908256880734,255.0,0.0,255.0,54825.0,29.775696152109493,0.987701377600852,8.393918326478488,-0.03445224294924761,-0.14287695993550986,9.521945135611631,7.616511190358636,1.764889570522492,1.2501714889705655,218.5,57.229974890025645,0.8383284301794672,0.9541484716157205,3.8716655548921137
ID2211,2211,0,214.0,50.02738654147105,101.19327073552427,0.0,4.0,4,8.234075889688377,1,,251.39150943396226,255.0,0.0,255.0,53295.0,30.190116765548385,0.9780205132002814,8.23441936758603,0.015584633862066682,-0.06781044697984945,9.724043700651242,7.115124813335209,1.7846428653530988,1.3666722588515077,213.00000000000003,57.252163161173115,0.8165930265801915,0.9530201342281879,3.9228535811239538
ID2208,2208,0,225.0,50.181614349775785,101.18834080717488,0.0,5.0,5,8.42514715711158,1,,247.03125,255.0,0.0,255.0,55335.0,44.467491085656214,0.9907847372210222,5.529607050879197,-0.10956533688006174,0.04153595020045106,9.533833326169715,7.614594430775612,-1.390602829345972,1.2520474219397935,223.00000000000003,57.2625855126408,0.8546195441470082,0.9612068965517243,3.8345863485570844
ID2207,2207,0,220.0,50.14242424242425,100.89545454545454,0.0,6.0,6,8.368283871884005,1,,252.6818181818182,255.0,0.0,255.0,55590.0,24.257722705035004,0.9969465648854963,10.400624065716086,0.044275887659368185,-0.0037700530863787694,9.861422288129324,7.427814530446295,1.8806644488792037,1.3276344270185767,219.99999999999997,56.636529455177126,0.8618650680050303,0.9691629955947134,3.818434036907578
