"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.38,,
0.050,0.38,0.00,
0.100,0.38,0.00,-0.28
0.150,0.38,-0.03,-1.06
0.200,0.38,-0.10,-1.87
0.250,0.37,-0.22,-2.53
0.300,0.35,-0.37,-2.70
0.350,0.33,-0.52,-2.15
0.400,0.30,-0.61,-0.76
0.450,0.27,-0.62,1.22
0.500,0.24,-0.49,3.17
0.550,0.21,-0.27,4.39
0.600,0.21,-0.01,4.58
0.650,0.21,0.22,4.05
0.700,0.23,0.39,3.08
0.750,0.25,0.54,1.67
0.800,0.28,0.59,-0.30
0.850,0.32,0.52,-2.45
0.900,0.34,0.32,-3.95
0.950,0.35,0.07,-4.42
1.000,0.35,-0.15,-4.09
1.050,0.34,-0.34,-3.28
1.100,0.31,-0.49,-1.97
1.150,0.28,-0.56,-0.13
1.200,0.25,-0.51,1.78
1.250,0.23,-0.36,3.22
1.300,0.22,-0.16,3.93
1.350,0.21,0.05,4.04
1.400,0.22,0.26,3.60
1.450,0.24,0.43,2.51
1.500,0.27,0.54,0.84
1.550,0.30,0.52,-0.93
1.600,0.32,0.42,-2.45
1.650,0.34,0.27,-3.62
1.700,0.35,0.06,-4.35
1.750,0.35,-0.20,-4.23
1.800,0.33,-0.42,-3.01
1.850,0.30,-0.53,-1.17
1.900,0.27,-0.52,0.64
1.950,0.25,-0.45,2.15
2.000,0.23,-0.30,3.29
2.050,0.21,-0.10,3.99
2.100,0.22,0.12,3.98
2.150,0.23,0.32,3.25
2.200,0.25,0.47,1.91
2.250,0.28,0.53,0.19
2.300,0.31,0.49,-1.56
2.350,0.33,0.36,-2.99
2.400,0.34,0.17,-3.83
2.450,0.35,-0.05,-3.96
2.500,0.34,-0.25,-3.45
2.550,0.32,-0.41,-2.36
2.600,0.30,-0.50,-0.82
2.650,0.27,-0.50,0.92
2.700,0.24,-0.41,2.47
2.750,0.22,-0.23,3.52
2.800,0.22,-0.03,3.89
2.850,0.22,0.18,3.56
2.900,0.24,0.35,2.71
2.950,0.26,0.46,1.52
3.000,0.28,0.50,0.02
3.050,0.31,0.48,-1.77
3.100,0.34,0.33,-3.40
3.150,0.35,0.10,-4.17
3.200,0.34,-0.14,-3.84
3.250,0.33,-0.31,-2.90
3.300,0.31,-0.42,-1.69
3.350,0.29,-0.49,-0.29
3.400,0.26,-0.46,1.26
3.450,0.24,-0.35,2.62
3.500,0.22,-0.18,3.46
3.550,0.22,0.02,3.69
3.600,0.23,0.21,3.31
3.650,0.24,0.37,2.34
3.700,0.26,0.46,0.91
3.750,0.29,0.47,-0.71
3.800,0.31,0.38,-2.12
3.850,0.33,0.23,-3.06
3.900,0.34,0.06,-3.45
3.950,0.34,-0.13,-3.32
4.000,0.33,-0.29,-2.69
4.050,0.31,-0.41,-1.57
4.100,0.28,-0.46,-0.08
4.150,0.26,-0.43,1.47
4.200,0.24,-0.30,2.73
4.250,0.22,-0.13,3.42
4.300,0.22,0.06,3.47
4.350,0.23,0.23,3.00
4.400,0.25,0.37,2.05
4.450,0.27,0.46,0.69
4.500,0.30,0.45,-0.90
4.550,0.32,0.36,-2.34
4.600,0.33,0.20,-3.27
4.650,0.34,0.01,-3.53
4.700,0.34,-0.17,-3.19
4.750,0.32,-0.33,-2.34
4.800,0.30,-0.42,-1.10
4.850,0.28,-0.45,0.35
4.900,0.25,-0.39,1.76
4.950,0.24,-0.26,2.80
5.000,0.23,-0.08,3.28
5.050,0.23,0.09,3.24
5.100,0.24,0.25,2.76
5.150,0.25,0.38,1.78
5.200,0.28,0.45,0.40
5.250,0.30,0.42,-1.13
5.300,0.32,0.33,-2.46
5.350,0.33,0.16,-3.33
5.400,0.34,-0.03,-3.58
5.450,0.33,-0.22,-3.05
5.500,0.32,-0.36,-1.99
5.550,0.30,-0.42,-0.64
5.600,0.27,-0.42,0.74
5.650,0.25,-0.35,1.96
5.700,0.23,-0.21,2.83
5.750,0.23,-0.04,3.19
5.800,0.23,0.12,3.07
5.850,0.24,0.28,2.44
5.900,0.26,0.39,1.34
5.950,0.28,0.43,-0.09
6.000,0.30,0.38,-1.48
6.050,0.32,0.26,-2.50
6.100,0.33,0.11,-3.03
6.150,0.33,-0.06,-3.08
6.200,0.33,-0.21,-2.66
6.250,0.31,-0.34,-1.78
6.300,0.29,-0.41,-0.53
6.350,0.27,-0.40,0.85
6.400,0.25,-0.32,2.07
6.450,0.23,-0.18,2.88
6.500,0.23,-0.01,3.13
6.550,0.23,0.16,2.85
6.600,0.25,0.29,2.12
6.650,0.26,0.38,1.02
6.700,0.29,0.40,-0.31
6.750,0.31,0.35,-1.61
6.800,0.32,0.23,-2.58
6.850,0.33,0.07,-3.02
6.900,0.33,-0.09,-2.93
6.950,0.32,-0.24,-2.40
7.000,0.31,-0.34,-1.48
7.050,0.29,-0.40,-0.21
7.100,0.26,-0.37,1.16
7.150,0.25,-0.27,2.22
7.200,0.23,-0.12,2.73
7.250,0.24,0.02,2.80
7.300,0.24,0.16,2.59
7.350,0.25,0.29,1.97
7.400,0.27,0.38,0.84
7.450,0.29,0.39,-0.57
7.500,0.31,0.32,-1.81
7.550,0.32,0.19,-2.57
7.600,0.33,0.04,-2.85
7.650,0.33,-0.11,-2.73
7.700,0.32,-0.24,-2.22
7.750,0.30,-0.35,-1.28
7.800,0.28,-0.39,-0.01
7.850,0.26,-0.35,1.28
7.900,0.24,-0.24,2.27
7.950,0.24,-0.10,2.79
8.000,0.23,0.05,2.84
8.050,0.24,0.20,2.42
8.100,0.25,0.31,1.57
8.150,0.27,0.36,0.41
8.200,0.29,0.35,-0.78
8.250,0.31,0.28,-1.79
8.300,0.32,0.16,-2.49
8.350,0.33,0.02,-2.79
8.400,0.32,-0.13,-2.61
8.450,0.31,-0.26,-1.94
8.500,0.30,-0.34,-0.91
8.550,0.28,-0.36,0.25
8.600,0.26,-0.31,1.37
8.650,0.24,-0.22,2.27
8.700,0.24,-0.07,2.75
8.750,0.24,0.08,2.69
8.800,0.25,0.21,2.70
8.850,0.26,0.31,2.41
8.900,0.28,0.51,0.83
8.950,0.30,0.50,-1.95
9.000,0.36,0.26,-4.09
9.050,0.32,-0.03,-3.67
9.100,0.33,-0.18,-2.19
9.150,0.32,-0.15,-1.35
9.200,0.31,-0.27,-1.23
9.250,0.29,-0.34,-0.77
9.300,0.27,-0.36,0.44
9.350,0.26,-0.30,1.59
9.400,0.24,-0.18,2.38
9.450,0.24,-0.04,2.69
9.500,0.24,0.10,2.58
9.550,0.25,0.23,2.08
9.600,0.26,0.32,1.19
9.650,0.28,0.36,-0.01
9.700,0.30,0.32,-1.21
9.750,0.32,0.22,-2.09
9.800,0.32,0.09,-2.49
9.850,0.33,-0.04,-2.51
9.900,0.32,-0.16,-2.24
9.950,0.31,-0.27,-1.62
10.000,0.29,-0.34,-0.60
10.050,0.27,-0.34,0.60
10.100,0.26,-0.27,1.63
10.150,0.24,-0.16,2.29
10.200,0.24,-0.03,2.58
10.250,0.24,0.11,2.47
10.300,0.25,0.23,1.92
10.350,0.26,0.31,0.99
10.400,0.28,0.34,-0.07
10.450,0.30,0.30,-1.09
10.500,0.31,0.22,-1.96
10.550,0.32,0.10,-2.58
10.600,0.33,-0.05,-2.71
10.650,0.32,-0.20,-2.23
10.700,0.30,-0.29,-1.30
10.750,0.29,-0.33,-0.21
10.800,0.27,-0.31,0.82
10.850,0.25,-0.24,1.66
10.900,0.25,-0.14,2.24
10.950,0.24,-0.01,2.47
11.000,0.24,0.13,2.27
11.050,0.25,0.24,1.67
11.100,0.27,0.30,0.79
11.150,0.29,0.32,-0.23
11.200,0.30,0.28,-1.26
11.250,0.32,0.19,-2.10
11.300,0.32,0.05,-2.51
11.350,0.32,-0.08,-2.39
11.400,0.31,-0.20,-1.88
11.450,0.30,-0.28,-1.11
11.500,0.28,-0.32,-0.14
11.550,0.27,-0.30,0.90
11.600,0.25,-0.22,1.79
11.650,0.24,-0.10,2.29
11.700,0.24,0.02,2.40
11.750,0.25,0.15,2.15
11.800,0.26,0.25,1.51
11.850,0.27,0.31,0.53
11.900,0.29,0.31,-0.55
11.950,0.31,0.25,-1.44
12.000,0.32,0.15,-2.01
12.050,0.32,0.04,-2.30
12.100,0.32,-0.08,-2.29
12.150,0.31,-0.20,-1.89
12.200,0.30,-0.29,-1.05
12.250,0.28,-0.32,0.05
12.300,0.26,-0.28,1.11
12.350,0.25,-0.20,1.86
12.400,0.24,-0.08,2.20
12.450,0.24,0.03,2.23
12.500,0.25,0.15,1.99
12.550,0.26,0.25,1.40
12.600,0.27,0.30,0.46
12.650,0.29,0.30,-0.60
12.700,0.31,0.23,-1.50
12.750,0.32,0.14,-2.06
12.800,0.32,0.02,-2.25
12.850,0.32,-0.10,-2.08
12.900,0.31,-0.20,-1.58
12.950,0.30,-0.27,-0.83
13.000,0.28,-0.29,0.05
13.050,0.27,-0.27,1.00
13.100,0.25,-0.19,1.83
13.150,0.25,-0.07,2.25
13.200,0.24,0.06,2.18
13.250,0.25,0.16,1.73
13.300,0.26,0.24,1.11
13.350,0.28,0.28,0.32
13.400,0.29,0.28,-0.60
13.450,0.31,0.21,-1.45
13.500,0.31,0.12,-2.03
13.550,0.32,-1.93E-4,-2.21
13.600,0.31,-0.12,-2.00
13.650,0.31,-0.21,-1.44
13.700,0.29,-0.27,-0.63
13.750,0.28,-0.28,0.28
13.800,0.26,-0.24,1.13
13.850,0.25,-0.16,1.78
13.900,0.25,-0.05,2.12
13.950,0.25,0.07,2.10
14.000,0.25,0.17,1.73
14.050,0.26,0.25,1.05
14.100,0.28,0.28,0.16
14.150,0.29,0.27,-0.79
14.200,0.31,0.20,-1.55
14.250,0.32,0.10,-1.99
14.300,0.32,-0.01,-2.12
14.350,0.31,-0.12,-1.87
14.400,0.31,-0.22,-1.28
14.450,0.29,-0.26,-0.48
14.500,0.27,-0.26,0.28
14.550,0.27,-0.23,0.97
14.600,0.25,-0.17,1.69
14.650,0.25,-0.06,2.18
14.700,0.25,0.08,2.17
14.750,0.26,0.18,1.67
14.800,0.27,0.25,0.87
14.850,0.28,0.27,-0.01
14.900,0.30,0.25,-0.89
14.950,0.31,0.18,-1.55
15.000,0.31,0.08,-1.91
15.050,0.32,-0.02,-1.99
15.100,0.31,-0.12,-1.81
15.150,0.30,-0.21,-1.32
15.200,0.29,-0.27,-0.49
15.250,0.27,-0.27,0.49
15.300,0.26,-0.21,1.31
15.350,0.25,-0.13,1.81
15.400,0.25,-0.03,2.01
15.450,0.25,0.08,1.93
15.500,0.26,0.18,1.50
15.550,0.27,0.25,0.76
15.600,0.28,0.26,-0.11
15.650,0.30,0.23,-0.93
15.700,0.31,0.16,-1.57
15.750,0.31,0.07,-1.93
15.800,0.31,-0.04,-1.96
15.850,0.31,-0.14,-1.63
15.900,0.30,-0.22,-1.03
15.950,0.29,-0.25,-0.28
16.000,0.27,-0.24,0.51
16.050,0.26,-0.20,1.25
16.100,0.25,-0.11,1.80
