"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1"
0.000,0.12,
0.050,0.12,0.04
0.100,0.12,0.04
0.150,0.12,0.06
0.200,0.13,0.04
0.250,0.13,-0.02
0.300,0.13,-0.06
0.350,0.12,-0.05
0.400,0.12,0.00
0.450,0.12,-0.40
0.500,0.13,-0.82
0.550,0.00,-0.84
0.600,0.00,-0.43
0.650,0.00,0.00
0.700,0.00,0.00
0.750,0.00,0.00
0.800,0.00,0.00
0.850,0.00,0.42
0.900,0.00,0.84
0.950,0.13,0.83
1.000,0.12,0.40
1.050,0.12,-0.02
1.100,0.12,0.00
1.150,0.12,0.00
1.200,0.12,-9.42E-5
1.250,0.12,0.01
1.300,0.12,0.01
1.350,0.13,0.00
1.400,0.12,-0.01
1.450,0.12,-0.02
1.500,0.12,-0.01
1.550,0.12,0.00
1.600,0.12,0.00
1.650,0.12,0.02
1.700,0.12,0.03
1.750,0.13,-0.39
1.800,0.13,-0.83
1.850,0.00,-0.85
1.900,0.00,-0.43
1.950,0.00,0.00
2.000,0.00,0.00
2.050,0.00,0.44
2.100,0.00,0.86
2.150,0.13,0.83
2.200,0.13,0.38
2.250,0.12,-0.03
2.300,0.12,0.03
2.350,0.13,0.07
2.400,0.13,0.05
2.450,0.13,-0.01
2.500,0.13,-0.06
2.550,0.12,-0.05
2.600,0.12,-0.02
2.650,0.12,0.00
2.700,0.12,-0.01
2.750,0.12,-0.01
2.800,0.12,0.00
2.850,0.12,0.01
2.900,0.12,0.00
2.950,0.12,0.02
3.000,0.12,-0.39
3.050,0.13,-0.83
3.100,0.00,-0.85
3.150,0.00,-0.43
3.200,0.00,0.00
3.250,0.00,0.00
3.300,0.00,0.43
3.350,0.00,0.85
3.400,0.13,0.83
3.450,0.13,0.41
3.500,0.13,0.01
3.550,0.13,0.05
3.600,0.13,0.06
3.650,0.14,0.04
3.700,0.13,0.01
3.750,0.14,-0.03
3.800,0.13,-0.02
3.850,0.13,-0.03
3.900,0.14,-0.04
3.950,0.13,-0.05
4.000,0.12,-0.04
4.050,0.12,0.01
4.100,0.13,0.01
4.150,0.12,0.03
