"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.38,,
0.050,0.38,0.05,
0.100,0.38,0.02,-1.02
0.150,0.38,-0.05,-2.01
0.200,0.38,-0.18,-2.98
0.250,0.36,-0.36,-3.79
0.300,0.34,-0.57,-4.11
0.350,0.31,-0.80,-3.23
0.400,0.26,-0.97,-0.74
0.450,0.21,-0.93,2.73
0.500,0.15,-0.67,3.76
0.550,0.14,-0.29,0.75
0.600,0.13,-0.49,-1.36
0.650,0.14,-0.88,2.20
0.700,0.00,-0.48,8.52
0.750,0.00,0.36,9.20
0.800,0.13,0.82,4.02
0.850,0.12,0.58,0.65
0.900,0.12,0.51,1.53
0.950,0.18,0.86,2.57
1.000,0.23,0.99,0.41
1.050,0.28,0.87,-2.94
1.100,0.32,0.63,-5.01
1.150,0.34,0.34,-6.06
1.200,0.35,0.01,-6.61
1.250,0.35,-0.33,-6.56
1.300,0.32,-0.67,-5.46
1.350,0.28,-0.94,-2.84
1.400,0.22,-1.02,1.03
1.450,0.17,-0.84,3.17
1.500,0.12,-0.46,1.63
1.550,0.13,-0.55,0.18
1.600,0.13,-0.83,3.40
1.650,0.00,-0.42,8.81
1.700,0.00,0.43,8.73
1.750,0.13,0.84,3.05
1.800,0.13,0.53,-0.46
1.850,0.12,0.39,1.05
1.900,0.16,0.74,3.19
1.950,0.21,0.95,1.91
2.000,0.26,0.93,-1.51
2.050,0.31,0.78,-4.51
2.100,0.35,0.46,-6.47
2.150,0.36,0.07,-7.08
2.200,0.35,-0.30,-6.45
2.250,0.33,-0.59,-5.32
2.300,0.29,-0.82,-3.44
2.350,0.24,-1.01,-0.22
2.400,0.19,-0.91,3.56
2.450,0.13,-0.56,5.77
2.500,0.13,-0.20,5.16
2.550,0.13,0.01,2.90
2.600,0.13,0.07,0.58
2.650,0.14,0.04,-0.56
2.700,0.14,-0.06,0.33
2.750,0.12,-0.04,2.96
2.800,0.12,0.24,5.32
2.850,0.15,0.63,5.25
2.900,0.19,0.87,2.76
2.950,0.24,0.91,-0.54
3.000,0.29,0.79,-3.45
3.050,0.33,0.55,-5.57
3.100,0.35,0.20,-6.56
3.150,0.35,-0.16,-6.34
3.200,0.33,-0.46,-5.42
3.250,0.30,-0.69,-4.07
3.300,0.26,-0.90,-1.59
3.350,0.21,-0.94,2.10
3.400,0.15,-0.68,5.14
3.450,0.12,-0.28,5.36
3.500,0.13,-0.02,2.98
3.550,0.14,0.00,0.58
3.600,0.13,-0.07,-0.16
3.650,0.13,-0.06,0.80
3.700,0.12,-0.01,2.71
3.750,0.13,0.18,4.58
3.800,0.13,0.51,5.22
3.850,0.18,0.80,3.66
3.900,0.23,0.94,0.75
3.950,0.27,0.85,-2.30
4.000,0.31,0.68,-4.72
4.050,0.34,0.37,-6.26
4.100,0.36,0.01,-6.84
4.150,0.34,-0.35,-6.33
4.200,0.32,-0.65,-4.98
4.250,0.27,-0.87,-2.50
4.300,0.22,-0.97,0.88
4.350,0.17,-0.79,3.97
4.400,0.13,-0.48,5.22
4.450,0.13,-0.17,4.19
