"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.38,,
0.050,0.38,-0.03,
0.100,0.38,-0.04,-0.51
0.150,0.37,-0.09,-1.76
0.200,0.37,-0.21,-2.72
0.250,0.36,-0.39,-2.85
0.300,0.33,-0.55,-1.78
0.350,0.30,-0.60,0.26
0.400,0.27,-0.53,2.54
0.450,0.24,-0.33,4.28
0.500,0.23,-0.06,4.90
0.550,0.24,0.21,4.35
0.600,0.25,0.40,3.00
0.650,0.28,0.52,1.22
0.700,0.31,0.54,-0.76
0.750,0.34,0.44,-2.54
0.800,0.36,0.25,-3.79
0.850,0.36,0.04,-4.44
0.900,0.36,-0.20,-4.43
0.950,0.35,-0.44,-3.37
1.000,0.31,-0.60,-1.06
1.050,0.28,-0.57,1.68
1.100,0.25,-0.39,3.76
1.150,0.24,-0.15,4.64
1.200,0.23,0.11,4.47
1.250,0.25,0.33,3.50
1.300,0.27,0.48,1.88
1.350,0.30,0.53,-0.10
1.400,0.33,0.47,-2.05
1.450,0.35,0.31,-1.50
1.500,0.36,0.08,-0.18
1.550,0.36,0.46,-2.10
1.600,0.34,0.26,-7.32
1.650,0.50,-0.50,-9.75
1.700,0.29,-1.15,-3.49
1.750,0.26,-1.05,4.76
1.800,0.24,-0.23,8.17
1.850,0.24,0.01,6.45
1.900,0.24,0.23,3.83
1.950,0.26,0.41,2.57
2.000,0.29,0.52,0.73
2.050,0.32,0.50,-1.40
2.100,0.34,0.36,-3.16
2.150,0.36,0.15,-4.11
2.200,0.36,-0.08,-4.19
2.250,0.35,-0.29,-3.50
2.300,0.33,-0.46,-2.04
2.350,0.30,-0.52,-0.04
2.400,0.27,-0.46,1.96
2.450,0.25,-0.30,3.46
2.500,0.24,-0.09,4.20
2.550,0.24,0.14,4.18
2.600,0.25,0.36,3.31
2.650,0.28,0.51,1.52
2.700,0.31,0.54,-0.79
2.750,0.34,0.42,-2.84
2.800,0.35,0.21,-3.97
2.850,0.36,-0.01,-4.13
2.900,0.35,-0.22,-3.58
2.950,0.34,-0.39,-2.45
3.000,0.31,-0.49,-0.82
3.050,0.28,-0.48,1.05
3.100,0.26,-0.37,2.70
3.150,0.24,-0.19,3.78
3.200,0.24,0.03,4.10
3.250,0.25,0.25,3.60
3.300,0.27,0.42,2.35
3.350,0.29,0.51,0.49
3.400,0.32,0.48,-1.56
3.450,0.34,0.33,-3.20
3.500,0.36,0.12,-3.98
3.550,0.36,-0.10,-3.92
3.600,0.35,-0.29,-3.20
3.650,0.33,-0.43,-1.88
3.700,0.30,-0.50,-0.05
3.750,0.27,-0.45,1.90
3.800,0.25,-0.29,3.39
3.850,0.24,-0.07,4.02
3.900,0.24,0.14,3.80
3.950,0.26,0.33,2.87
4.000,0.28,0.45,1.41
4.050,0.30,0.48,-0.34
4.100,0.33,0.41,-2.00
4.150,0.35,0.27,-3.29
4.200,0.36,0.07,-4.05
4.250,0.36,-0.16,-4.06
4.300,0.34,-0.38,-3.08
4.350,0.32,-0.51,-1.16
4.400,0.29,-0.51,1.12
4.450,0.26,-0.38,2.96
4.500,0.25,-0.17,3.90
4.550,0.24,0.04,3.92
4.600,0.25,0.24,3.24
4.650,0.27,0.39,2.01
4.700,0.29,0.46,0.38
4.750,0.32,0.43,-1.29
4.800,0.34,0.31,-2.63
4.850,0.35,0.14,-3.49
4.900,0.35,-0.05,-3.83
4.950,0.35,-0.26,-3.45
5.000,0.33,-0.43,-2.08
5.050,0.30,-0.50,4.29E-4
5.100,0.27,-0.43,2.03
5.150,0.25,-0.26,3.35
5.200,0.24,-0.06,3.81
5.250,0.25,0.14,3.57
5.300,0.26,0.31,2.75
5.350,0.28,0.43,1.37
5.400,0.30,0.47,-0.44
5.450,0.33,0.39,-2.26
5.500,0.35,0.22,-3.48
5.550,0.35,0.01,-3.82
5.600,0.35,-0.19,-3.38
5.650,0.33,-0.35,-2.32
5.700,0.31,-0.44,-0.76
5.750,0.28,-0.44,0.97
5.800,0.26,-0.33,2.45
5.850,0.25,-0.17,3.36
5.900,0.25,0.02,3.69
5.950,0.25,0.22,3.44
6.000,0.27,0.39,2.43
6.050,0.29,0.50,0.66
6.100,0.32,0.48,-1.49
6.150,0.35,0.33,-3.27
6.200,0.36,0.11,-4.12
6.250,0.36,-0.12,-3.93
6.300,0.34,-0.31,-2.92
6.350,0.32,-0.43,-1.42
6.400,0.30,-0.46,0.27
6.450,0.27,-0.40,1.83
6.500,0.26,-0.26,3.03
6.550,0.25,-0.08,3.67
6.600,0.25,0.13,3.60
6.650,0.26,0.31,2.74
6.700,0.28,0.43,1.20
6.750,0.31,0.44,-0.59
6.800,0.33,0.36,-2.15
6.850,0.34,0.21,-3.19
6.900,0.35,0.02,-3.58
6.950,0.35,-0.17,-3.29
7.000,0.33,-0.33,-2.30
7.050,0.31,-0.42,-0.92
7.100,0.29,-0.42,
7.150,0.27,-0.36,
7.200,0.25,,
