Run #1         Run #1         Run #1         Run #1        Run #1
Time (s)       Position (m)   Velocity (m/s) Position (m)  Velocity (m/s)
0.000          0.849
0.025                                        2.195
0.050          0.853          0.12
0.075                                        2.200          0.05
0.100          0.861          -0.03
0.125                                        2.200          0.00
0.150          0.851          -0.04         
0.175                                        2.200          0.00
0.200          0.850          0.03 
0.225                                        2.200          0.00
0.25           0.854          0.02
0.275                                        2.2            0.00
0.3            0.858          -0.03
0.325                                        2.2            0.01
0.35           0.851          -0.1
0.375                                        2.201          0.00
0.4            0.847          -0.08
0.425                                        2.2            -0.01
